Key,French
Bulletinboard/Bring,Apporter à <npcName>, <itemAmount> <itemName>
Bulletinboard/BringCaptured,Apporter la prise.
Bulletinboard/Capture,Apportez <animalName> capturé à un point de dépôt pour une récompense accrue.
Bulletinboard/Collect,Collecter <itemAmount> <itemName> <amountCollected>
Bulletinboard/DayAgo,Il y a un jour
Bulletinboard/DaysAgo,il y a quelques jours
Bulletinboard/Hunt,Chasser <animalAmount> <animalName> <amountCompleted>
Bulletinboard/MonthAgo,il y a un mois
Bulletinboard/MonthsAgo,il y a plusieurs mois
Bulletinboard/Photograph,Photographier <animalsInPhoto>
Bulletinboard/Show,Montrer la photo à <npcName>
Bulletinboard/TalkTo,Parlez à <npcName>
Bulletinboard/ThePhotograph,la photo
Bulletinboard/ToADropOffPoint,à un point de dépôt pour une récompense accrue
Bulletinboard/Today,Aujourd'hui
Bulletinboard/WeekAgo,il y a une semaine
Bulletinboard/WeeksAgo,il y a plusieur semaines
Bulletinboard/YearAgo,il y a un an
Bulletinboard/YearsAgo,il y a plusieur années
Bulletinboard/Yesterday,hier
Cutscene/Narration_000,Il y a longtemps, tous sont allés vers le sud.
Cutscene/Narration_001,Nombreux sont ceux contraints de déménager à <SouthCity>.
Cutscene/Narration_002,Les habitants de cette ville ont une vie froide et misérable.
Cutscene/Narration_003,Vous êtes né ici.
Cutscene/Narration_004,Peu sont ceux qui désirent partir.
Cutscene/Narration_005,Mais vous, vous en avez envie plus que tout au monde.
Cutscene/Narration_006,À la recherche d'un jeune aventurier pour m'accompagner dans mon ancien foyer, <IslandName>.þþL'hébergement et le voyage vous seront indemnisés.þþTous ceux se montrant intéressés pourront se joindre à moi, à mon départ, au terminal de l'aéroport le premier jour de l'été.þ
Cutscene/Narration_007,Vous partez pour <IslandName> aujourd'hui.
Cutscene/Narration_008,Et vous avez peut-être trouvé une solution pour vous échapper.
DescriptionDetails/Title_AddsATemporary,ajout temporaire
DescriptionDetails/Title_Bury,Enterrer
DescriptionDetails/Title_Consumable,Consommable
DescriptionDetails/Title_Consuming,Consommé après une utilisation
DescriptionDetails/Title_ContinuesToProduce,Continue à produire
DescriptionDetails/Title_Damage,Dégât
DescriptionDetails/Title_GrowsOver,Se développe sur
DescriptionDetails/Title_Health,santé
DescriptionDetails/Title_Plantable,Cultivable
DescriptionDetails/Title_Produces,Produit
DescriptionDetails/Title_Restores,restaure
DescriptionDetails/Title_Stamina,endurance
DescriptionDetails/Title_TilledSoil,Sol Labouré
DescriptionDetails/Title_Weapon,Arme
DescriptionDetails/Title_days,journées
Generic/CompleteHuntingRequest_Intro_000,Merci de vous occuper de <requestedHuntTarget>.
Generic/CompleteHuntingRequest_Intro_001,Ces créatures mutantes sont vraiment dangereuses, elles peuvent causer beaucoup de dégâts.
Generic/CompleteHuntingRequest_Intro_002,Allez-y et réclamez votre <BulletinBoardReward> comme promis.
Generic/CompleteHuntingRequest_Intro_003,
Generic/NPC_000_RandomConvo_000_Intro,<haha>Comme c'est troublant.
Generic/RandomConvo_000_Intro_000,<thinking>Les musées sont très importants pour la société.
Generic/RandomConvo_000_Intro_001,Imaginez si nous nous contentions de laisser tous ses vieux trucs là où nous les avions trouvés ?
Generic/RandomConvo_000_Intro_002,<worried>Il y en aurait partout !
Generic/RandomConvo_000_Intro_003,<shocked> Quel enfer !
Generic/RandomConvo_001_Intro_000,<yes>J'aime vraiment répertorier toutes les nouvelles espèces sur cette île.
Generic/RandomConvo_001_Intro_001,<glee>Pour être honnête, l'archivage est presque aussi agréable !
Generic/RandomConvo_002_Intro_000,<worried>Les poissons et les insectes sont intéressants, mais je n'aime pas vraiment les touchers...
Generic/RandomConvo_002_Intro_001,<yes>Mais ça va quand même.
Generic/RandomConvo_002_Intro_002,<proud>Après tout, les choses dans les musées sont faites pour être vues, pas touchées
Generic/RandomConvo_003_Intro_000,<thinking>Je me demandais s'il y avait un moyen de cataloguer l'air ?
Generic/RandomConvo_003_Intro_001,<PlayerName>, êtes-vous intéressé par une exposition aérienne ?
Generic/RandomConvo_003_Option_000,Bien sûr!
Generic/RandomConvo_003_Option_001,Pas vraiment
Generic/RandomConvo_003_Response_000_000,<glee> Tu vois, je me doutais que tu étais aussi du genre tête en l'air !
Generic/RandomConvo_003_Response_000_001,Je vais faire le tour de la ville et voir si je peux trouver d'autres personnes qui seraient intéressées! <glee>
Generic/RandomConvo_003_Response_001_000,<sigh>þAh, c'est dommage. J'ai déjà mis en pot un tas de spécimens... 
Generic/RandomConvo_004_Intro_000,<thinking>La paperasse peut prendre beaucoup de temps..
Generic/RandomConvo_004_Intro_001,<haha> Mais on dit que le temps passe vite quand on s'amuse !
Generic/RandomConvo_005_Intro_000,<yes>Si vous avez pris une belle photo et que vous voulez me la montrer, venez au musée pour l'exposer.
Generic/RandomConvo_005_Intro_001,<yes>Ne vous inquiétez pas, je remplirai les formulaires requis pour vous !
Generic/RandomConvo_005_Intro_002,<glee>Ce serait avec grand plaisir !
Generic/RandomConvo_006_Intro_000,<proud>C'est formidable d'avoir un guichet pour examiner toutes les choses intéressantes autour d'ici.
Generic/RandomConvo_006_Intro_001,Quoi?
Generic/RandomConvo_006_Intro_002,<shocked> La quincaillerie de John ?
Generic/RandomConvo_006_Intro_003,<no>Non, non non !
Generic/RandomConvo_006_Intro_004,<angry>Je voulais dire le Musée !
Generic/RandomConvo_007_Intro_000,<glee> Il y en tas d'espèces inconnues à étudier ici à <IslandName>!
Generic/RandomConvo_007_Intro_001,<worried> Oh non !
Generic/RandomConvo_007_Intro_002,<no>Je n'entends pas les disséquer ! 
Generic/RandomConvo_007_Intro_003,<proud> Ici, au Musée de <IslandName>, nous n'étudions que par l'observation !
Generic/RandomConvo_008_Intro_000,<thinking> Imagine que l'on regroupe tout ce qui se trouve sur <IslandName> et qu'on les mettait dans un Musée !
Generic/RandomConvo_008_Intro_001,<proud> De cette façon, quand les gens souhaiteraient voir quelque chose en particulier, il suffirait qu'ils empruntent cette aile !
Generic/RandomConvo_009_Intro_000,Etudier toute chose est mon travail
Generic/RandomConvo_009_Intro_001,<yes> J'ai plein d'autres loisirs.
Generic/RandomConvo_009_Intro_002,<glee>Par exemple, durant mon temps libre, j’aime parler de tout ce que j’étudie. [CORRIGER]
Generic/RandomConvo_010_Intro_000,<thinking> Je pense qu'un de ces jours nous aurons un Musée des Musées.
Generic/RandomConvo_010_Intro_001,<oui> Ce sera l'apogée de la civilisation, pour sûr !
Generic/RandomConvo_010_Intro_002,Toutes ces connaissances, toutes ces expositions, toute cette paperasse !
Generic/RandomConvo_010_Intro_003,<glee> Ce serait merveilleux.
Generic/RandomConvo_011_Intro_000,<thinking> J'aimerais bien voyager davantage un de ces jours.
Generic/RandomConvo_011_Intro_001,<no> Sous réserve que je ne sois pas obligé d'aller réellement où que ce soit, bien évidemment.
Generic/RandomConvo_011_Intro_002,<pumped> Nous pourrions organiser des expositions des quatre coins du globe, ici même à <IslandName> !
Generic/RandomConvo_012_Intro_000,<no> Je ne sors pas souvent.
Generic/RandomConvo_012_Intro_001,<worried> Ce n'est pas très ordonné dehors. Je trouve ça très stressant.
Generic/RandomConvo_012_Intro_002,<worried> Les plantes poussent partout, les animaux et les gens vont dans tous les sens et font n'importe quoi comme bon leur semble !
Generic/RandomConvo_012_Intro_003,<shocked> Quel enfer !
Generic/RandomConvo_013_Intro_000,<thinking> Il y a tant de manières d'organiser et de regrouper tout ce qui existe..
Generic/RandomConvo_013_Intro_001,<yes> Jouer avec eux peut être si stimulant.
Generic/RandomConvo_013_Intro_002,<pumped> Parfois, je me balade et je ré-arrange tout par ordre alphabétique, puis par taille, et des fois même, par odeurs !
Generic/RandomConvo_013_Intro_003,<yes> Ce dernier classement est très simple, puisque tout sent le désinfectant, comme il se doit.
Generic/RandomConvo_014_Intro_000,<shy> Parfois, j'aime grimper sur une présentoir vide et faire semblant que JE SUIS l'une des choses exposées.
Generic/RandomConvo_014_Intro_001,<haha> Je suis d'ailleurs un parfait candidat car je n'essaie jamais de m'enfuir.
Generic/RandomConvo_015_Intro_000,<shy> Des fois, je me tiens droit et immobile, pour faire semblant que je suis une statue…
Generic/RandomConvo_015_Intro_001,<haha> Je me sens de suite marbre-eilleux !
Generic/RandomConvo_015_Intro_002,Un petit échantillon d'humour de musée, <PlayerName>.
Generic/RandomConvo_016_Intro_000,<thinking> Que ça doit être agréable d'être observé toute la journée.
Generic/RandomConvo_016_Intro_001,<worried> Je ne supporterais sûrement pas tant d'attention cependant.
Generic/RandomConvo_016_Intro_002,<thinking>Quoique, si les gens formaient une belle queue bien ordonnée, cela m'effrayerait bien moins ?
Generic/RandomConvo_017_Intro_000,<yes> J'adore la musique.
Generic/RandomConvo_017_Intro_001,<no>Mais je n'en écoute pas, bien sûr, c'est bien trop bruyant.
Generic/RandomConvo_017_Intro_002,Mais il y a tant de façons de la cataloguer et de l'organiser.
Generic/RandomConvo_017_Intro_003,<thinking>Vous pouvez ranger par artiste, par genre, par durée, par rythme…
Generic/RandomConvo_017_Intro_004,<glee>Tant de possibilités !
Generic/RandomConvo_018_Intro_000,<glee>Quelle belle journée !
Generic/RandomConvo_018_Intro_001,<yes>Un temps parfait pour rester chez soi et étudier !
Generic/RandomConvo_019_Intro_000,<glee>Qu'est-ce que j'aime l'odeur du papier neuf.
Generic/RandomConvo_019_Intro_001,<yes> Bien rangé, entassé et prêt à l'emploi.
Generic/RandomConvo_019_Intro_002,<pumped> Parfois, ça me rend malade d'écrire dessus mais nous faisons un travail des plus important ici.
Generic/RandomConvo_019_Intro_003,<yes>Donc, ça en vaut bien la peine !
Generic/RandomConvo_020_Intro_000,A quoi bon qu'il se passe quoi que ce soit, si personne n'est là pour l'enregistrer ?
Generic/RandomConvo_020_Intro_001,<yes>Hé, <PlayerName>, si un arbre tombe dans la forêt, merci de m'en tenir informer.
InventoryItemDescriptions/InvDesc_0,Coupe les arbres et les plantes.
InventoryItemDescriptions/InvDesc_1,Un bâton de jet
InventoryItemDescriptions/InvDesc_10,Transporte l'eau d'un point A à un point B
InventoryItemDescriptions/InvDesc_100,Une mouche ordinaire
InventoryItemDescriptions/InvDesc_101,Beurk.
InventoryItemDescriptions/InvDesc_102,Une fleur jaune.
InventoryItemDescriptions/InvDesc_103,Est-ce quelque chose ici burried? Si elle émet un signal sonore creusez là.
InventoryItemDescriptions/InvDesc_104,Une Gemme brillante.
InventoryItemDescriptions/InvDesc_105,A faire fondre pour obtenir des barres
InventoryItemDescriptions/InvDesc_106,A faire fondre pour obtenir des barres
InventoryItemDescriptions/InvDesc_107,Ça à l'air de valoir cher, mais ce n'est pas le cas. 
InventoryItemDescriptions/InvDesc_108,Une petite araignée chic
InventoryItemDescriptions/InvDesc_109,Ça ne peut pas voler 
InventoryItemDescriptions/InvDesc_11,Comment ça ? [CORRIGER]
InventoryItemDescriptions/InvDesc_110,Une lumière très puissante
InventoryItemDescriptions/InvDesc_111,Dur ou mou, c'est toi qui vois. 
InventoryItemDescriptions/InvDesc_112,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_113,Une barre de fer
InventoryItemDescriptions/InvDesc_114,Une barre de cuivre
InventoryItemDescriptions/InvDesc_115,Un four plus rapide qui peut aussi faire fondre le minerai de fer
InventoryItemDescriptions/InvDesc_116,Quoi de neuf, docteur ?
InventoryItemDescriptions/InvDesc_117,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_118,croix stylée 
InventoryItemDescriptions/InvDesc_119,Un bâton de jet
InventoryItemDescriptions/InvDesc_12,fait à partir de pierre dans un Broyeur 
InventoryItemDescriptions/InvDesc_120,Gardez ce dôme chaud
InventoryItemDescriptions/InvDesc_121,Gardez ce dôme chaud
InventoryItemDescriptions/InvDesc_122,Rebondissant!
InventoryItemDescriptions/InvDesc_123,Ceci est poppin'
InventoryItemDescriptions/InvDesc_124,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_125,Un permis de construction pour un magasin d'outillage agricole et de graines
InventoryItemDescriptions/InvDesc_126,Transporte de l'eau d'un point A à un point B
InventoryItemDescriptions/InvDesc_127,Un lit cramoisi. Hé, ça rime ! 
InventoryItemDescriptions/InvDesc_128,C'est vide. Remplissez-le avec de l'eau.
InventoryItemDescriptions/InvDesc_129,Un permis de construction pour une mine. L'endroit idéal pour dégoter facilement des minerais. 
InventoryItemDescriptions/InvDesc_13,Balancer n'importe quoi là-dessus. Ça les cuira. 
InventoryItemDescriptions/InvDesc_130,Éclaire faiblement autour de vous 
InventoryItemDescriptions/InvDesc_131,Une simple chaise pour s'asseoir
InventoryItemDescriptions/InvDesc_132,Une table en bois.
InventoryItemDescriptions/InvDesc_133,Une table de chevet en bois 
InventoryItemDescriptions/InvDesc_134,Stockez des choses ici.
InventoryItemDescriptions/InvDesc_135,Une table en bois.
InventoryItemDescriptions/InvDesc_136,Un lit pour une personne.
InventoryItemDescriptions/InvDesc_137,Un fauteuil
InventoryItemDescriptions/InvDesc_138,Un canapé
InventoryItemDescriptions/InvDesc_139,Un fauteuil
InventoryItemDescriptions/InvDesc_14,Un os qui peut être utilisé pour faire des choses.
InventoryItemDescriptions/InvDesc_140,Un canapé vert
InventoryItemDescriptions/InvDesc_141,Une chaise blanche pour une personne
InventoryItemDescriptions/InvDesc_142,Une petite table basse blanche
InventoryItemDescriptions/InvDesc_143,Une grande table blanche.
InventoryItemDescriptions/InvDesc_144,Une longue table basse .
InventoryItemDescriptions/InvDesc_145,Une chaise 2 places blanche
InventoryItemDescriptions/InvDesc_146,Un lit double
InventoryItemDescriptions/InvDesc_147,Un lot de tiroirs à mettre près du lit
InventoryItemDescriptions/InvDesc_148,Un ensemble de tiroirs.
InventoryItemDescriptions/InvDesc_149,Un tas de tiroirs.
InventoryItemDescriptions/InvDesc_15,Des briques pour le sol.
InventoryItemDescriptions/InvDesc_150,Un permis de construction pour un magasin de meubles pour votre chez-vous 
InventoryItemDescriptions/InvDesc_151,Un lit.
InventoryItemDescriptions/InvDesc_152,Une table de chevet.
InventoryItemDescriptions/InvDesc_153,Une chaise
InventoryItemDescriptions/InvDesc_154,Une table basse
InventoryItemDescriptions/InvDesc_155,Un ensemble de tiroirs
InventoryItemDescriptions/InvDesc_156,Une grande table.
InventoryItemDescriptions/InvDesc_157,Eclaire la maison
InventoryItemDescriptions/InvDesc_158,Pour les pieds.
InventoryItemDescriptions/InvDesc_159,Un canapé 2 places .
InventoryItemDescriptions/InvDesc_16,5, 6, 7, 8
InventoryItemDescriptions/InvDesc_160,Une chaise blanche.
InventoryItemDescriptions/InvDesc_161,Un tabouret blanc 
InventoryItemDescriptions/InvDesc_162,Une petite table de chevet blanche.
InventoryItemDescriptions/InvDesc_163,Une petite table de chevet blanche.
InventoryItemDescriptions/InvDesc_164,Tiroirs blancs
